1669300409.978874	1669300409.951251
1669300410.157331	1669300409.951668
1669300410.162186	1669300409.951747
1669300410.167091	1669300409.951928
1669300410.172349	1669300409.952255
1669300410.178787	1669300409.952409
1669300410.184261	1669300409.953061
1669300410.190091	1669300409.95325
1669300410.196726	1669300409.953617
1669300410.202408	1669300409.95381
1669300410.208018	1669300409.953908
1669300410.213561	1669300409.954332
1669300410.219169	1669300409.954867
1669300410.224645	1669300409.954962
1669300410.230595	1669300409.955069
1669300410.236695	1669300409.955563
1669300410.242547	1669300409.955615
1669300410.248507	1669300409.955857
1669300410.254411	1669300409.956251
1669300410.26036	1669300409.956538
1669300410.266175	1669300409.956708
1669300410.272078	1669300409.957532
1669300410.278263	1669300409.957874
1669300410.284155	1669300409.958007
1669300410.29009	1669300409.958073
1669300410.29603	1669300409.951608
1669300410.301931	1669300409.953412
1669300410.30788	1669300409.958237
1669300410.314779	1669300409.953702
1669300410.321228	1669300409.953728
1669300410.327255	1669300409.953954
1669300410.333336	1669300409.953997
1669300410.339435	1669300409.954564
1669300410.345303	1669300409.954706
1669300410.351039	1669300409.955155
1669300410.358427	1669300409.955243
1669300410.3642	1669300409.955364
1669300410.371368	1669300409.955691
1669300410.377788	1669300409.956952
1669300410.384831	1669300409.957461
1669300410.390772	1669300409.953287
1669300410.399582	1669300409.957727
1669300410.409927	1669300409.952848
1669300410.420809	1669300409.9535
1669300410.43122	1669300409.953675
1669300410.441951	1669300409.953649
1669300410.451673	1669300409.953869
1669300410.458554	1669300409.953837
1669300410.469632	1669300409.954077
1669300410.481208	1669300409.956184
1669300410.490975	1669300409.956456
1669300410.501411	1669300409.956799
1669300410.51237	1669300409.957026
1669300410.522929	1669300409.957106
1669300410.532052	1669300409.957598
1669300410.542642	1669300409.957667
1669300410.554121	1669300409.958138
1669300410.564429	1669300409.952507
1669300410.573531	1669300409.958362
1669300410.584337	1669300409.951494
1669300410.595007	1669300409.952018
1669300410.604929	1669300409.952114
1669300410.613514	1669300409.952315
1669300410.622211	1669300409.952461
1669300410.629123	1669300409.952639
1669300410.638385	1669300409.952764
1669300410.644582	1669300409.953576
1669300410.652997	1669300409.953754
1669300410.659175	1669300409.954034
1669300410.66433	1669300409.954154
1669300410.669058	1669300409.954242
1669300410.676401	1669300409.954784
1669300410.681058	1669300409.955464
1669300410.687438	1669300409.955513
1669300410.692938	1669300409.955776
1669300410.698654	1669300409.956322
1669300410.704437	1669300409.957387
1669300410.710142	1669300409.958299
1669300410.714835	1669300409.951838
1669300410.720372	1669300409.952558
1669300410.724854	1669300409.952968
1669300410.730334	1669300409.953194
1669300410.7351	1669300409.953325
1669300410.740534	1669300409.953375
1669300410.745944	1669300409.953463
1669300410.751527	1669300409.953539
1669300410.756101	1669300409.953784
1669300410.762723	1669300409.954452
1669300410.768161	1669300409.955313
1669300410.774317	1669300409.955417
1669300410.779573	1669300409.955945
1669300410.784134	1669300409.956086
1669300410.790525	1669300409.956616
1669300410.79513	1669300409.956881
1669300410.799497	1669300409.95721
1669300410.803995	1669300409.9573
1669300410.808421	1669300409.957793
1669300410.814626	1669300409.957944
1669300410.819736	1669300409.958424
1669300410.82576	1669300409.958487
